Short_ID;Day;SHAPE;FIR;ROI_Entry;ROI_Exit;error;H0_Count;Strategy;Latency;Genotyoe;Sex;Virus;ATF;Symbol;ColorCode
C1A3;D4;H0;835;216;1528;1;6;Serial;7,2;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C1A3;D5;H0;138;273;485;1;6;Mixed;9,1;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C1A3;D7;H0;265;366;662;2;7;Serial;12,2;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D1;H0;402;861;1349;1;3;Direct;28,7;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D2;H0;44;5042;5092;4;3;Serial;168,0666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D3;H0;58;4959;5017;2;2;Serial;165,3;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D4;H0;15;1514;1529;3;3;Mixed;50,46666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D5;H0;77;15253;15354;14;1;Mixed;508,4333333;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
C2A1;D7;NA;0;NA;NA;NA;0;none;600;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D1;H0;16;441;457;16;9;Mixed;14,7;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D1;H0;71;254;343;3;1;Serial;8,466666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D2;H0;35;260;295;6;12;Serial;8,666666667;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D2;H0;91;82;187;2;2;Mixed;2,733333333;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D3;H0;102;1486;1631;11;8;Mixed;49,53333333;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D3;H0;74;545;749;15;2;Serial;18,16666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D4;H0;69;448;519;10;11;Serial;14,93333333;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D4;H0;59;89;157;2;1;Mixed;2,966666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D5;H0;54;1287;1364;14;7;Serial;42,9;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D5;H0;148;2165;2380;37;1;Mixed;72,16666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
8515;D7;H0;13;65;80;2;7;Serial;2,166666667;Htt+;Macho;VP64;PSD95-6ZF-VP64;21;#009E73
8910;D7;H0;26;0;26;1;2;Direct;0;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D1;H0;67;3189;3295;39;1;Serial;106,3;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D2;H0;340;3026;3574;30;2;Serial;100,8666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D3;H0;163;1463;1734;9;2;Serial;48,76666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D4;H0;9;1671;1680;6;1;Mixed;55,7;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9416;D5;H0;157;669;851;4;2;Mixed;22,3;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D1;H0;62;1445;1507;22;5;Mixed;48,16666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D2;H0;85;2553;2645;33;14;Mixed;85,1;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D3;H0;229;174;763;4;3;Mixed;5,8;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D4;H0;176;57;262;4;7;Serial;1,9;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9143;D5;H0;572;1160;1972;16;6;Serial;38,66666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D1;H0;78;1071;1154;12;6;Serial;35,7;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D2;H0;108;283;548;6;3;Mixed;9,433333333;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D3;H0;108;134;242;3;5;Serial;4,466666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D4;H0;36;294;330;8;5;Mixed;9,8;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
9548;D5;H0;78;101;179;3;6;Serial;3,366666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D1;H0;89;971;1070;32;8;Serial;32,36666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D2;H0;100;254;399;4;1;Mixed;8,466666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D3;H0;94;182;276;4;5;Serial;6,066666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D4;H0;44;695;739;6;1;Serial;23,16666667;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
7223;D5;H0;164;168;332;5;1;Serial;5,6;Htt+;Hembra;VP64;PSD95-6ZF-VP64;21;#009E73
